source,tool_name,n,PG2-22M chunk,PG2-86M chunk,protectai-v2 chunk,keyword-generic full,keyword-template-aware full
agentdojo,add_calendar_event_participants,70,0.000,0.400,0.471,0.643,1.000
agentdojo,delete_file,70,0.000,0.629,1.000,0.557,0.857
agentdojo,get_channels,25,0.360,0.480,0.800,0.200,0.800
agentdojo,get_day_calendar_events,140,0.000,0.421,0.629,0.607,1.000
agentdojo,get_most_recent_transactions,45,0.000,0.711,1.000,0.378,1.000
agentdojo,get_rating_reviews_for_car_rental,105,0.048,0.619,0.695,0.514,0.886
agentdojo,get_rating_reviews_for_hotels,315,0.044,0.686,0.832,0.514,0.886
agentdojo,get_rating_reviews_for_restaurants,245,0.110,0.722,0.784,0.514,0.886
agentdojo,get_unread_emails,70,0.000,0.700,1.000,1.000,1.000
agentdojo,get_webpage,100,0.000,0.410,0.450,0.200,0.950
agentdojo,list_files,70,0.000,0.614,1.000,1.000,1.000
agentdojo,read_file,135,0.000,0.400,0.467,0.556,0.926
agentdojo,search_calendar_events,350,0.000,0.460,0.651,0.629,1.000
agentdojo,search_emails,290,0.000,0.559,1.000,0.807,1.000
agentdojo,search_files,140,0.000,0.429,0.521,0.821,1.000
agentdojo,search_files_by_filename,280,0.000,0.514,0.564,0.661,0.929
injecagent,AmazonGetProductDetails,124,0.000,0.500,0.677,0.798,0.798
injecagent,EvernoteManagerSearchNotes,124,0.008,0.508,0.855,0.798,0.798
injecagent,GitHubGetRepositoryDetails,124,0.000,0.500,0.863,0.798,0.798
injecagent,GitHubGetUserDetails,124,0.000,0.500,0.871,0.806,0.806
injecagent,GitHubSearchRepositories,124,0.000,0.500,0.750,0.798,0.798
injecagent,GmailReadEmail,124,0.000,0.500,0.831,0.798,0.798
injecagent,GmailSearchEmails,124,0.000,0.508,0.823,0.798,0.798
injecagent,GoogleCalendarGetEventsFromSharedCalendar,124,0.000,0.508,0.774,0.798,0.798
injecagent,GoogleCalendarReadEvents,124,0.000,0.508,0.839,0.798,0.798
injecagent,ShopifyGetProductDetails,124,0.000,0.500,0.758,0.798,0.798
injecagent,TeladocViewReviews,124,0.000,0.532,0.734,0.798,0.798
injecagent,TodoistSearchTasks,124,0.000,0.500,0.597,0.798,0.798
injecagent,TwilioGetReceivedSmsMessages,124,0.000,0.500,0.919,0.798,0.798
injecagent,TwitterManagerGetUserProfile,124,0.000,0.500,0.960,0.798,0.798
injecagent,TwitterManagerReadTweet,124,0.000,0.500,0.960,0.798,0.798
injecagent,TwitterManagerSearchTweets,124,0.008,0.508,0.944,0.798,0.798
injecagent,WebBrowserNavigateTo,124,0.073,0.508,0.806,0.798,0.798
